                                                                    random  random    bkwd   record   stride
                    KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
2013-03-02T00:03:00 64       4  450541 1083249  1599680  2067979 1690338 1392258  842003  1562436  1518251   818885   929467 1255511  1991276
2013-03-02T03:03:00 64       4  390278  743988  1638743  1526887 2067979 1017549 1183548  1492919  1562436   831569   939223 1828508  2067979
2013-03-02T06:02:00 64       4  409946  592827  2772930  2133730 2133730  695778 1163036  1484662  1330167   866463   780776 1599680  2006158
2013-03-02T09:02:00 64       4  467002 1083249  1492919  2133730 2133730 1357066 1163036  1526887  2052169   969761  1105556 1947927  2006158
2013-03-02T12:03:00 64       4  435202 1066042  1648808  1734015 2067979 1392258 1188789  1492919  1255511  1452528  1087638 2006158  2006158
2013-03-02T15:03:00 64       4  324665 1385075  1828508  2133730 2116903 1304314  998622  1492919  1553394  1049372  1421755 1330167  1562436
2013-03-02T18:03:00 64       4  511494  926260  2133730  2067979 2067979 1029254 1255511  1304314  2067979   842003   821391 1304314  1679761
2013-03-02T21:03:00 64       4  454354 1484662  1991276  2203800 2067979 1330167 1033216  1526887  2006158  1304314  1143223 2203800  1421755
2013-03-03T00:03:00 64       4  450541  703068  1679761  2133730 1562436 1049372 1163036  1484662  1562436   852702   942521 1947927  2067979
2013-03-03T03:02:00 64       4  495445  852702  1991276  2561267 2133730 1357066  763021  1484662  1780008  1083249   712397 1518251  1392258
2013-03-03T06:02:00 64       4  512471  653436  1879725  1310683 2067979 1049372 1255511  1452528  1492919   780776   733819 1722886  1304314
2013-03-03T09:02:00 64       4  444572  913649  2133730  2133730 1562436  801764 1279447  1421755  1562436   831569   735831 1392258  1679761
2013-03-03T12:02:00 64       4  369844  955947  2067979  1780008 2067979 1087638 1204796  1210227  2006158  1163036   863676 1734015  2067979
2013-03-03T15:02:00 64       4  409946 1066042  2133730  2067979 1336792 1363961  533875  1188789  1562436   666414  1143223 1734015  2133730
2013-03-03T18:02:00 64       4  390278  769584  1828508  1828508 2067979 1119387  780776  1421755  1690338  1070292  1033216 1249666  1279447
2013-03-03T21:02:00 64       4  450541  926260  2203800  2892445 2133730 1087638 1124074  1124074  1232453  1101022   640954 1452528  2006158
2013-03-04T00:02:00 64       4  503814 1105556  2923952  2116903 1562436 1105556 1690338  1124074  1518251  1124074  1357066 1460430  1492919
2013-02-18T09:03:00 64       8  503814 1226821  2444640  4274062 3203069 1363961 2278628  2133730  2662899  1421755  1392258 3057153  4018152
